region_name,system_code,time_start,time_end,ifi
Attiki,TRANSPORT,2024-01-01,2024-12-31,0.22239201323336397
Attiki,TRANSPORT_T3W_MULTI,2024-01-01,2024-12-31,0.35651238360373433
